Gain DAC	Relative gain
1024	8.39671189176233
1025	8.41364797864555
1026	8.43061743781991
1027	8.44762036832153
1028	8.46465686918653
1029	8.48172703945102
1030	8.49883097815112
1031	8.51596878432295
1032	8.53314055700264
1033	8.55034639522629
1034	8.56758639803003
1035	8.58486066444996
1036	8.60216929352223
1037	8.61951238428293
1038	8.63689003576818
1039	8.65430234701412
1040	8.67174941705685
1041	8.68923134493249
1042	8.70674822967716
1043	8.72430017032698
1044	8.74188726591806
1045	8.75950961548653
1046	8.77716731806851
1047	8.7948604727001
1048	8.81258917841744
1049	8.83035353425663
1050	8.84815363925379
1051	8.86598959244506
1052	8.88386149286653
1053	8.90176943955433
1054	8.91971353154458
1055	8.93769386787339
1056	8.95571054757689
1057	8.97376366969119
1058	8.99185333325242
1059	9.00997963729668
1060	9.0281426808601
1061	9.04634256297879
1062	9.06457938268888
1063	9.08285323902647
1064	9.1011642310277
1065	9.11951245772867
1066	9.13789801816551
1067	9.15632101137433
1068	9.17478153639126
1069	9.1932796922524
1070	9.21181557799388
1071	9.23038929265182
1072	9.24900093526233
1073	9.26765060486154
1074	9.28633840048555
1075	9.3050644211705
1076	9.32382876595249
1077	9.34263153386764
1078	9.36147282395208
1079	9.38035273524192
1080	9.39927136677328
1081	9.41822881758228
1082	9.43722518670503
1083	9.45626057317765
1084	9.47533507603627
1085	9.494448794317
1086	9.51360182705595
1087	9.53279427328925
1088	9.55202623205302
1089	9.57129780238337
1090	9.59060908331642
1091	9.60996017388828
1092	9.62935117313509
1093	9.64878218009295
1094	9.66825329379798
1095	9.6877646132863
1096	9.70731623759404
1097	9.7269082657573
1098	9.74654079681221
1099	9.76621392979487
1100	9.78592776374143
1101	9.80568239768798
1102	9.82547793067065
1103	9.84531446172555
1104	9.86519208988881
1105	9.88511091419655
1106	9.90507103368487
1107	9.9250725473899
1108	9.94511555434776
1109	9.96520015359457
1110	9.98532644416644
1111	10.0054945250995
1112	10.0257044954298
1113	10.0459564541936
1114	10.0662505004269
1115	10.0865867331659
1116	10.1069652514466
1117	10.1273861543052
1118	10.1478495407778
1119	10.1683555099006
1120	10.1889041607096
1121	10.2094955922409
1122	10.2301299035308
1123	10.2508071936152
1124	10.2715275615304
1125	10.2922911063124
1126	10.3130979269973
1127	10.3339481226213
1128	10.3548417922205
1129	10.375779034831
1130	10.396759949489
1131	10.4177846352305
1132	10.4388531910916
1133	10.4599657161085
1134	10.4811223093173
1135	10.5023230697542
1136	10.5235680964552
1137	10.5448574884564
1138	10.566191344794
1139	10.5875697645041
1140	10.6089928466228
1141	10.6304606901862
1142	10.6519733942304
1143	10.6735310577917
1144	10.695133779906
1145	10.7167816596095
1146	10.7384747959383
1147	10.7602132879285
1148	10.7819972346163
1149	10.8038267350378
1150	10.8257018882291
1151	10.8476227932262
1152	10.8695895490654
1153	10.8916022547827
1154	10.9136610094143
1155	10.9357659119963
1156	10.9579170615648
1157	10.9801145571559
1158	11.0023584978057
1159	11.0246489825504
1160	11.046986110426
1161	11.0693699804687
1162	11.0918006917147
1163	11.1142783431999
1164	11.1368030339606
1165	11.1593748630329
1166	11.1819939294528
1167	11.2046603322566
1168	11.2273741704802
1169	11.2501355431599
1170	11.2729445493317
1171	11.2958012880318
1172	11.3187058582963
1173	11.3416583591613
1174	11.3646588896629
1175	11.3877075488373
1176	11.4108044357205
1177	11.4339496493487
1178	11.457143288758
1179	11.4803854529845
1180	11.5036762410644
1181	11.5270157520337
1182	11.5504040849285
1183	11.5738413387851
1184	11.5973276126394
1185	11.6208630055277
1186	11.644447616486
1187	11.6680815445505
1188	11.6917648887572
1189	11.7154977481424
1190	11.739280221742
1191	11.7631124085923
1192	11.7869944077294
1193	11.8109263181893
1194	11.8349082390082
1195	11.8589402692222
1196	11.8830225078674
1197	11.9071550539799
1198	11.931338006596
1199	11.9555714647516
1200	11.9798555274829
1201	12.004190293826
1202	12.028575862817
1203	12.0530123334921
1204	12.0774998048873
1205	12.1020383760389
1206	12.1266281459828
1207	12.1512692137553
1208	12.1759616783924
1209	12.2007056389302
1210	12.225501194405
1211	12.2503484438527
1212	12.2752474863095
1213	12.3001984208116
1214	12.325201346395
1215	12.3502563620959
1216	12.3753635669504
1217	12.4005230599946
1218	12.4257349402646
1219	12.4509993067965
1220	12.4763162586265
1221	12.5016858947907
1222	12.5271083143252
1223	12.552583616266
1224	12.5781118996494
1225	12.6036932635115
1226	12.6293278068883
1227	12.655015628816
1228	12.6807568283307
1229	12.7065515044685
1230	12.7323997562656
1231	12.758301682758
1232	12.7842573829819
1233	12.8102669559734
1234	12.8363305007686
1235	12.8624481164037
1236	12.8886199019146
1237	12.9148459563377
1238	12.9411263787089
1239	12.9674612680644
1240	12.9938507234404
1241	13.0202948438729
1242	13.046793728398
1243	13.0733474760519
1244	13.0999561858707
1245	13.1266199568906
1246	13.1533388881475
1247	13.1801130786777
1248	13.2069426275173
1249	13.2338276337023
1250	13.260768196269
1251	13.2877644142533
1252	13.3148163866915
1253	13.3419242126197
1254	13.3690879910739
1255	13.3963078210904
